# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "--primary" "-s" "0" "-t" "gene" "-g" "gene_id" "-a" "/scratch/avannan/refs/rat/mRatBN7.2/Rattus_norvegicus.mRatBN7.2.105.gtf" "-o" "/data/CEM/wilsonlab/projects/rodent_addiction/powell/05_counts/HISAT2_featureCounts/genes/powell_SRS6085261_CI1cue_hisat2_featurecounts_genes.txt" "/data/CEM/wilsonlab/projects/rodent_addiction/powell/04_processing/HISAT2/sorted_bams/powell_SRS6085261_CI1cue_hisat2_trim_sort.bam" 
Geneid	Chr	Start	End	Strand	Length	/data/CEM/wilsonlab/projects/rodent_addiction/powell/04_processing/HISAT2/sorted_bams/powell_SRS6085261_CI1cue_hisat2_trim_sort.bam
ENSRNOG00000068000	3	75476761	75484701	-	7941	1
ENSRNOG00000008604	3	139978301	140002870	+	24570	1051
ENSRNOG00000065767	3	76138060	76143325	-	5266	0
ENSRNOG00000001572	3	59665629	59667769	+	2141	3
ENSRNOG00000054245	3	76166415	76173027	-	6613	0
ENSRNOG00000070780	3	76228298	76230622	+	2325	0
ENSRNOG00000013339	3	168362650	168400788	-	38139	295
ENSRNOG00000065667	3	76247799	76253703	-	5905	0
ENSRNOG00000059153	3	75627982	75628906	-	925	0
ENSRNOG00000012603	3	62129887	62220546	-	90660	1884
ENSRNOG00000050277	3	168674849	168698091	-	23243	276
ENSRNOG00000020225	3	145175479	145270490	+	95012	3204
ENSRNOG00000013657	3	168416810	168425056	-	8247	1184
ENSRNOG00000062899	3	75527800	75535046	-	7247	0
ENSRNOG00000065812	3	74498546	74505741	+	7196	0
ENSRNOG00000001597	3	58718332	58795236	-	76905	5886
ENSRNOG00000064911	3	74529894	74536942	-	7049	0
ENSRNOG00000064654	3	75046247	75057300	-	11054	0
ENSRNOG00000053430	3	167559316	167578305	+	18990	14
ENSRNOG00000014424	3	146850557	146884871	-	34315	41
ENSRNOG00000064180	3	167574819	167575673	-	855	0
ENSRNOG00000062312	3	74552203	74560315	-	8113	0
ENSRNOG00000008596	3	141429444	141475865	+	46422	274
ENSRNOG00000068113	3	73733864	73736223	-	2360	0
ENSRNOG00000019065	3	62355196	62640510	-	285315	8126
ENSRNOG00000015067	3	168594609	168619762	+	25154	1003
ENSRNOG00000063322	3	74579912	74603428	+	23517	2
ENSRNOG00000027513	3	168419579	168465348	+	45770	696
ENSRNOG00000063792	3	74317523	74324403	+	6881	0
ENSRNOG00000001588	3	59570646	59573963	+	3318	0
ENSRNOG00000063578	3	74579912	74593375	+	13464	0
ENSRNOG00000024815	3	168813087	168814089	-	1003	0
ENSRNOG00000038165	3	61596641	61605045	+	8405	4
ENSRNOG00000067615	3	74648270	74654606	-	6337	0
ENSRNOG00000062563	3	165035926	165038532	-	2607	0
ENSRNOG00000034174	3	142400976	142448044	+	47069	1
ENSRNOG00000001514	3	57322708	57333353	+	10646	20
ENSRNOG00000065210	3	74657593	74666651	-	9059	0
ENSRNOG00000069009	3	74689082	74707227	-	18146	1
ENSRNOG00000015558	3	168687521	168698091	-	10571	0
ENSRNOG00000004861	3	64163085	64233715	+	70631	76
ENSRNOG00000065773	3	76094497	76110456	-	15960	15
ENSRNOG00000013992	3	168466496	168473914	-	7419	241
ENSRNOG00000069927	3	75775505	75782868	-	7364	0
ENSRNOG00000015202	3	168621969	168655935	+	33967	4227
ENSRNOG00000064935	3	142862574	142872677	-	10104	0
ENSRNOG00000030212	3	64237522	64340675	-	103154	22
ENSRNOG00000067933	3	75179451	75191771	-	12321	0
ENSRNOG00000010275	3	167839385	167855985	+	16601	32
ENSRNOG00000005609	3	64359395	64363649	-	4255	2
ENSRNOG00000067390	3	75673972	75679241	-	5270	0
ENSRNOG00000006112	3	164912639	164920901	+	8263	0
ENSRNOG00000069529	3	75818890	75825337	-	6448	0
ENSRNOG00000066625	3	75854399	75855302	+	904	0
ENSRNOG00000060449	3	167346201	167347470	+	1270	71
ENSRNOG00000015637	3	142756202	142816002	+	59801	0
ENSRNOG00000014235	3	168473981	168490380	+	16400	162
ENSRNOG00000054497	3	167017993	167083356	-	65364	682
ENSRNOG00000049336	3	168490074	168493127	+	3054	73
ENSRNOG00000017939	3	58510536	58676490	-	165955	20335
ENSRNOG00000007341	3	145873996	145942319	-	68324	357
ENSRNOG00000051420	3	167347461	167362279	-	14819	460
ENSRNOG00000069601	3	75871362	75879648	-	8287	0
ENSRNOG00000014592	3	168499583	168568782	-	69200	248
ENSRNOG00000050123	3	144454338	144458612	-	4275	0
ENSRNOG00000006654	3	75881665	75886324	-	4660	0
ENSRNOG00000057245	3	167364048	167379092	-	15045	18
ENSRNOG00000061249	3	76304505	76305430	-	926	0
ENSRNOG00000016062	3	142876296	142906709	-	30414	431
ENSRNOG00000052405	3	166525099	167003371	+	478273	4669
ENSRNOG00000065177	3	144455085	144455788	+	704	0
ENSRNOG00000064679	3	75662482	75669007	-	6526	0
ENSRNOG00000015359	3	147165729	147207203	+	41475	29
ENSRNOG00000062804	3	76338893	76342434	+	3542	0
ENSRNOG00000047874	3	163213762	163224884	+	11123	247
ENSRNOG00000009354	3	7992552	7995133	+	2582	50
ENSRNOG00000067869	3	73235229	73239004	+	3776	0
ENSRNOG00000010894	3	8070914	8071867	+	954	48
ENSRNOG00000065868	3	73253285	73255727	-	2443	0
ENSRNOG00000040284	3	8051475	8051945	-	471	0
ENSRNOG00000030476	3	9583796	9584625	+	830	0
ENSRNOG00000050697	3	163224875	163235645	-	10771	64
ENSRNOG00000042556	3	8512325	8513623	+	1299	511
ENSRNOG00000001548	3	60594242	60621737	-	27496	646
ENSRNOG00000070103	3	10365137	10365322	+	186	0
ENSRNOG00000046151	3	163247967	163256063	+	8097	0
ENSRNOG00000063457	3	11321790	11322053	-	264	0
ENSRNOG00000022490	3	13804033	13804473	-	441	4
ENSRNOG00000024846	3	13744078	13745647	-	1570	6
ENSRNOG00000016989	3	13557817	13559917	-	2101	53
ENSRNOG00000007492	3	145941839	145989543	+	47705	1017
ENSRNOG00000046473	3	15088045	15088425	-	381	0
ENSRNOG00000067028	3	16969913	16970068	-	156	0
ENSRNOG00000013267	3	168338813	168353159	-	14347	77
ENSRNOG00000069882	3	19712242	19713180	+	939	0
ENSRNOG00000030143	3	21494203	21494676	+	474	0
ENSRNOG00000046849	3	20211305	20212240	+	936	0
ENSRNOG00000065516	3	20269678	20270616	+	939	0
ENSRNOG00000067266	3	165188105	165188942	+	838	2
ENSRNOG00000069995	3	20315162	20316100	+	939	0
ENSRNOG00000033799	3	20413262	20414203	-	942	0
ENSRNOG00000012722	3	168299791	168301036	+	1246	104
ENSRNOG00000049460	3	20424125	20425072	+	948	0
ENSRNOG00000029787	3	20472362	20473294	-	933	0
ENSRNOG00000055984	3	167265296	167270195	+	4900	252
ENSRNOG00000032102	3	20551788	20552741	-	954	0
ENSRNOG00000019340	3	144471214	144516125	+	44912	441
ENSRNOG00000029627	3	22430259	22430740	+	482	0
ENSRNOG00000028690	3	24019813	24020295	-	483	0
ENSRNOG00000062692	3	19871836	19872759	+	924	0
ENSRNOG00000013371	3	142381374	142395308	+	13935	0
ENSRNOG00000048601	3	34585986	34586294	-	309	0
ENSRNOG00000027533	3	34465715	34466470	-	756	1
ENSRNOG00000027510	3	36077652	36078641	+	990	0
ENSRNOG00000053691	3	167270296	167318451	-	48156	66
ENSRNOG00000064291	3	37261811	37262065	-	255	0
ENSRNOG00000069831	3	20991066	20991398	+	333	0
ENSRNOG00000018288	3	143890896	143952268	-	61373	3403
ENSRNOG00000068577	3	20998987	20999319	+	333	0
ENSRNOG00000046568	3	21021861	21022169	+	309	0
ENSRNOG00000069411	3	21029748	21030080	+	333	0
ENSRNOG00000005109	3	38539581	38540998	-	1418	1
ENSRNOG00000029793	3	37316133	37316483	+	351	0
ENSRNOG00000064950	3	145508997	145532381	-	23385	2
ENSRNOG00000005951	3	34673373	34674332	+	960	0
ENSRNOG00000065751	3	37896759	37897073	-	315	0
ENSRNOG00000067302	3	164707881	164787872	+	79992	570
ENSRNOG00000007605	3	51559683	51560524	-	842	2
ENSRNOG00000023181	3	55699649	55700263	-	615	0
ENSRNOG00000065953	3	56203622	56204104	-	483	0
ENSRNOG00000017404	3	168960305	168979497	+	19193	1984
ENSRNOG00000028492	3	57683759	57684100	+	342	0
ENSRNOG00000023090	3	55959416	55959568	-	153	0
ENSRNOG00000028543	3	57576709	57578013	+	1305	1
ENSRNOG00000017843	3	168982812	168987040	+	4229	187
ENSRNOG00000067031	3	58432232	58432510	-	279	0
ENSRNOG00000016248	3	168785490	168787290	-	1801	10
ENSRNOG00000029423	3	57334747	57335597	-	851	0
ENSRNOG00000069321	3	60901896	60905350	-	3455	47
ENSRNOG00000013003	3	168318512	168324915	-	6404	14
ENSRNOG00000031453	3	146035066	146064676	+	29611	215
ENSRNOG00000059460	3	60855575	60858389	-	2815	144
ENSRNOG00000052519	3	60899196	60901634	-	2439	13
ENSRNOG00000055484	3	68656172	68656363	-	192	0
ENSRNOG00000070077	3	66108178	66108582	-	405	0
ENSRNOG00000068234	3	70677460	70678404	+	945	0
ENSRNOG00000009376	3	70466039	70466986	-	948	0
ENSRNOG00000034115	3	70487136	70488080	-	945	0
ENSRNOG00000030468	3	71072647	71073579	+	933	0
ENSRNOG00000036813	3	145548041	145650873	-	102833	764
ENSRNOG00000009227	3	70217385	70221050	+	3666	12
ENSRNOG00000068114	3	71382854	71383801	-	948	0
ENSRNOG00000067898	3	71809676	71810668	+	993	0
ENSRNOG00000031811	3	71107387	71108346	+	960	0
ENSRNOG00000064459	3	70690439	70691383	+	945	0
ENSRNOG00000065446	3	72227923	72228861	-	939	0
ENSRNOG00000066979	3	71469317	71470258	-	942	0
ENSRNOG00000068209	3	73048245	73049174	+	930	0
ENSRNOG00000034047	3	72128998	72129936	-	939	0
ENSRNOG00000049954	3	71728882	71729817	-	936	0
ENSRNOG00000065296	3	71773279	71774271	+	993	0
ENSRNOG00000069515	3	72715241	72716185	+	945	0
ENSRNOG00000007583	3	139611749	139663553	+	51805	922
ENSRNOG00000037837	3	72737588	72738568	+	981	0
ENSRNOG00000037834	3	72791319	72792275	+	957	0
ENSRNOG00000009693	3	71081976	71082941	-	966	0
ENSRNOG00000006395	3	145743619	145758741	+	15123	2
ENSRNOG00000010052	3	72362428	72363408	-	981	0
ENSRNOG00000009526	3	70718741	70719697	-	957	0
ENSRNOG00000036934	3	139659317	139719564	-	60248	1537
ENSRNOG00000064583	3	70743746	70744687	+	942	0
ENSRNOG00000061609	3	70817883	70818797	+	915	0
ENSRNOG00000030662	3	70859345	70860274	-	930	0
ENSRNOG00000006236	3	145652737	145665856	-	13120	4
ENSRNOG00000051828	3	70886343	70887278	+	936	0
ENSRNOG00000058567	3	70936717	70937664	+	948	0
ENSRNOG00000063901	3	145652835	145658506	-	5672	0
ENSRNOG00000060260	3	70956657	70957592	+	936	0
ENSRNOG00000034031	3	146571278	146600325	+	29048	446
ENSRNOG00000049901	3	71010282	71011220	+	939	0
ENSRNOG00000033994	3	71017564	71018538	+	975	0
ENSRNOG00000007827	3	141228443	141239331	+	10889	9
ENSRNOG00000045634	3	71648296	71649231	-	936	0
ENSRNOG00000015794	3	147421908	147441192	+	19285	79
ENSRNOG00000015393	3	147267373	147271844	+	4472	534
ENSRNOG00000015696	3	142708028	142872677	-	164650	497
ENSRNOG00000025238	3	142709530	142728344	+	18815	0
ENSRNOG00000010417	3	141884840	142008976	-	124137	1752
ENSRNOG00000024437	3	146222240	146232909	-	10670	1262
ENSRNOG00000024923	3	146226407	146228834	+	2428	0
ENSRNOG00000063306	3	141970974	141971820	+	847	0
ENSRNOG00000012880	3	146639054	146682847	-	43794	890
ENSRNOG00000010538	3	142099251	142114317	-	15067	232
ENSRNOG00000012923	3	146682922	146786452	+	103531	1009
ENSRNOG00000020246	3	145281937	145288333	+	6397	22
ENSRNOG00000010625	3	142130592	142169124	+	38533	11
ENSRNOG00000012956	3	146772687	146801981	-	29295	4
ENSRNOG00000017086	3	143119093	143156249	+	37157	225
ENSRNOG00000063087	3	143138332	143139527	+	1196	0
ENSRNOG00000069424	3	73286429	73291895	+	5467	0
ENSRNOG00000066059	3	73310915	73311855	+	941	0
ENSRNOG00000063436	3	73327938	73331398	+	3461	0
ENSRNOG00000070108	3	73381811	73384274	+	2464	0
ENSRNOG00000069317	3	73410132	73411227	-	1096	0
ENSRNOG00000069667	3	73415091	73419297	-	4207	0
ENSRNOG00000062823	3	73444793	73448661	-	3869	0
ENSRNOG00000068434	3	73465350	73466307	-	958	0
ENSRNOG00000005898	3	73485741	73486302	+	562	0
ENSRNOG00000063311	3	72839916	72844701	+	4786	0
ENSRNOG00000021949	3	72870763	72873735	-	2973	0
ENSRNOG00000021920	3	72885018	72888490	+	3473	0
ENSRNOG00000071089	3	72928453	72929390	-	938	0
ENSRNOG00000010179	3	72972960	72973896	-	937	0
ENSRNOG00000069875	3	72977773	72979693	+	1921	0
ENSRNOG00000021658	3	73067824	73071199	-	3376	0
ENSRNOG00000068369	3	73086533	73089989	-	3457	0
ENSRNOG00000014429	3	77236322	77248455	+	12134	624
ENSRNOG00000014798	3	77248375	77416274	-	167900	3080
ENSRNOG00000058658	3	76830413	76850189	+	19777	771
ENSRNOG00000028215	3	76665786	76724565	+	58780	744
ENSRNOG00000059846	3	84499836	84499900	+	65	0
ENSRNOG00000065166	3	76128856	76134242	-	5387	0
ENSRNOG00000067074	3	161253399	161253638	+	240	0
ENSRNOG00000053266	3	162314531	162314628	+	98	0
ENSRNOG00000065851	3	14345860	14346010	-	151	0
ENSRNOG00000062725	3	75094260	75101929	-	7670	0
ENSRNOG00000058802	3	14768362	14768482	-	121	0
ENSRNOG00000067376	3	15510515	15510599	+	85	0
ENSRNOG00000062330	3	15506847	15506931	+	85	0
ENSRNOG00000056867	3	15650595	15650750	-	156	0
ENSRNOG00000009155	3	76876646	76883824	-	7179	494
ENSRNOG00000066442	3	41274166	41274284	-	119	0
ENSRNOG00000068132	3	41664805	41664911	-	107	0
ENSRNOG00000067253	3	28813277	28813416	-	140	0
ENSRNOG00000066113	3	28559956	28560093	+	138	0
ENSRNOG00000062921	3	28306345	28306467	-	123	0
ENSRNOG00000068952	3	99954981	99955113	+	133	0
ENSRNOG00000060254	3	85514347	85514473	+	127	0
ENSRNOG00000009397	3	76883014	76890799	+	7786	272
ENSRNOG00000056350	3	90428366	90428504	+	139	0
ENSRNOG00000061517	3	90954459	90954588	+	130	0
ENSRNOG00000069001	3	68391781	68391887	+	107	0
ENSRNOG00000054178	3	68552105	68552234	+	130	0
ENSRNOG00000067931	3	77681431	77689724	+	8294	1
ENSRNOG00000053758	3	56256252	56256439	+	188	0
ENSRNOG00000057896	3	56964327	56964460	-	134	0
ENSRNOG00000053318	3	56825307	56825429	-	123	0
ENSRNOG00000009723	3	76889922	76899427	-	9506	143
ENSRNOG00000060304	3	44044189	44044292	+	104	0
ENSRNOG00000069333	3	44660847	44660953	-	107	0
ENSRNOG00000063509	3	45137673	45137755	-	83	0
ENSRNOG00000057181	3	107415211	107415319	-	109	0
ENSRNOG00000064895	3	108403290	108403396	-	107	0
ENSRNOG00000052528	3	108399872	108400075	+	204	0
ENSRNOG00000053730	3	20503965	20504098	+	134	0
ENSRNOG00000057217	3	21551038	21551144	-	107	0
ENSRNOG00000058017	3	21162968	21163078	-	111	0
ENSRNOG00000061392	3	21551754	21551860	+	107	0
ENSRNOG00000008467	3	76764238	76800214	+	35977	142
ENSRNOG00000065636	3	21420354	21420481	+	128	18
ENSRNOG00000058635	3	157621381	157621508	-	128	0
ENSRNOG00000060700	3	158925769	158925972	-	204	0
ENSRNOG00000055165	3	65632244	65632364	+	121	0
ENSRNOG00000064572	3	88620630	88620693	+	64	0
ENSRNOG00000070539	3	89468368	89468474	-	107	0
ENSRNOG00000065355	3	167099578	167099736	-	159	0
ENSRNOG00000057737	3	167167546	167167689	+	144	0
ENSRNOG00000061689	3	94020971	94021100	+	130	0
ENSRNOG00000053257	3	93583829	93584106	-	278	0
ENSRNOG00000051919	3	94340738	94340864	-	127	0
ENSRNOG00000063274	3	94733134	94733277	+	144	0
ENSRNOG00000056775	3	94526803	94526933	-	131	0
ENSRNOG00000059287	3	147810531	147810653	+	123	0
ENSRNOG00000056709	3	147218608	147218749	-	142	0
ENSRNOG00000062752	3	148766711	148766817	+	107	0
ENSRNOG00000054556	3	26896499	26896629	+	131	0
ENSRNOG00000058974	3	102077660	102077791	+	132	0
ENSRNOG00000069316	3	103045835	103045977	-	143	0
ENSRNOG00000064743	3	2235683	2240483	+	4801	0
ENSRNOG00000069960	3	2234750	2234902	+	153	0
ENSRNOG00000062337	3	2231807	2233678	+	1872	2
ENSRNOG00000064311	3	3018943	3019095	+	153	0
ENSRNOG00000070537	3	3031454	3031606	-	153	0
ENSRNOG00000015285	3	77429798	77483593	+	53796	835
ENSRNOG00000064600	3	54624784	54624882	-	99	0
ENSRNOG00000053739	3	12149416	12149579	-	164	0
ENSRNOG00000071124	3	13672511	13672701	-	191	0
ENSRNOG00000051556	3	153355849	153355965	+	117	0
ENSRNOG00000055988	3	151394507	151394629	+	123	0
ENSRNOG00000052329	3	151457872	151458028	-	157	0
ENSRNOG00000070840	3	151710338	151710456	+	119	0
ENSRNOG00000051794	3	152555953	152556082	+	130	0
ENSRNOG00000065344	3	103775219	103775328	+	110	0
ENSRNOG00000061411	3	105017369	105017530	-	162	0
ENSRNOG00000070340	3	105111125	105111231	+	107	0
ENSRNOG00000070766	3	119971782	119971889	+	108	0
ENSRNOG00000054047	3	119557611	119557671	-	61	0
ENSRNOG00000056813	3	130137075	130137194	+	120	0
ENSRNOG00000063896	3	130325643	130325780	-	138	0
ENSRNOG00000054708	3	34314128	34314238	-	111	0
ENSRNOG00000064326	3	59408621	59408764	+	144	0
ENSRNOG00000060698	3	59407641	59407795	-	155	0
ENSRNOG00000053336	3	58689563	58689673	-	111	0
ENSRNOG00000059523	3	59521746	59521846	+	101	0
ENSRNOG00000065124	3	75796364	75801803	-	5440	0
ENSRNOG00000053475	3	59490951	59491051	-	101	0
ENSRNOG00000052086	3	123674265	123674392	-	128	0
ENSRNOG00000062753	3	123329939	123330048	-	110	0
ENSRNOG00000066102	3	75690273	75695608	-	5336	0
ENSRNOG00000059174	3	133775907	133776009	+	103	0
ENSRNOG00000069379	3	135194918	135195023	-	106	0
ENSRNOG00000065949	3	76362053	76365592	+	3540	0
ENSRNOG00000058281	3	8024552	8024656	+	105	0
ENSRNOG00000066419	3	8309151	8309287	+	137	0
ENSRNOG00000056973	3	9466700	9466831	-	132	0
ENSRNOG00000065896	3	75643136	75648126	-	4991	1
ENSRNOG00000058689	3	9465427	9465521	-	95	0
ENSRNOG00000053480	3	9465426	9465556	-	131	0
ENSRNOG00000058037	3	9524587	9524754	-	168	0
ENSRNOG00000053815	3	76274068	76279704	-	5637	0
ENSRNOG00000053851	3	9395033	9395140	-	108	0
ENSRNOG00000056125	3	106276929	106277024	-	96	0
ENSRNOG00000065708	3	106034295	106034427	-	133	0
ENSRNOG00000068166	3	76284546	76292035	-	7490	0
ENSRNOG00000071177	3	168778195	168778301	+	107	0
ENSRNOG00000057105	3	168537148	168537248	-	101	0
ENSRNOG00000059003	3	37768435	37768539	-	105	0
ENSRNOG00000006669	3	75903026	75907828	+	4803	0
ENSRNOG00000051675	3	37725889	37726111	+	223	1
ENSRNOG00000065635	3	75927489	75933318	+	5830	0
ENSRNOG00000054461	3	37398482	37398789	+	308	0
ENSRNOG00000052295	3	36994302	36994428	+	127	0
ENSRNOG00000067981	3	10822310	10822430	+	121	0
ENSRNOG00000006706	3	75946552	75952943	-	6392	0
ENSRNOG00000067405	3	10240847	10240917	+	71	0
ENSRNOG00000070841	3	10239556	10239630	+	75	0
ENSRNOG00000069917	3	10241187	10241257	+	71	0
ENSRNOG00000006716	3	75990392	75994675	+	4284	0
ENSRNOG00000051785	3	76008028	76012154	+	4127	0
ENSRNOG00000060319	3	76017309	76021531	+	4223	0
ENSRNOG00000047981	3	76031385	76036039	+	4655	0
ENSRNOG00000069972	3	76038539	76047053	-	8515	0
ENSRNOG00000043148	3	76091970	76092783	+	814	0
ENSRNOG00000016067	3	77491276	77593264	+	101989	4297
ENSRNOG00000016325	3	77596198	77609486	-	13289	19
ENSRNOG00000062667	3	75749426	75757582	-	8157	0
ENSRNOG00000005413	3	77952540	77993456	-	40917	52
ENSRNOG00000007732	3	78421933	78428520	-	6588	99
ENSRNOG00000008674	3	78932087	79005320	-	73234	267
ENSRNOG00000068495	3	78989849	78990289	+	441	0
ENSRNOG00000065980	3	75148691	75154241	+	5551	0
ENSRNOG00000068843	3	75171564	75179212	+	7649	0
ENSRNOG00000000047	3	79385887	79431809	-	45923	226
ENSRNOG00000008000	3	78877114	78917392	+	40279	948
ENSRNOG00000017422	3	77700936	77890221	+	189286	3851
ENSRNOG00000017737	3	77904150	77946099	-	41950	1507
ENSRNOG00000010495	3	80263495	80373812	-	110318	3185
ENSRNOG00000034025	3	76405927	76562260	-	156334	3534
ENSRNOG00000007241	3	76733027	76763079	+	30053	913
ENSRNOG00000007989	3	78548525	78574883	+	26359	494
ENSRNOG00000069579	3	76857735	76874139	+	16405	336
ENSRNOG00000029798	3	83483851	83687774	+	203924	27972
ENSRNOG00000000008	3	79611719	79648260	+	36542	59
ENSRNOG00000008944	3	79665415	79798059	-	132645	2010
ENSRNOG00000070512	3	75210490	75215472	-	4983	0
ENSRNOG00000066316	3	83103303	83104022	-	720	6
ENSRNOG00000009689	3	80378096	80403264	-	25169	1171
ENSRNOG00000017556	3	77893425	77901159	+	7735	524
ENSRNOG00000017560	3	77901158	77903130	-	1973	41
ENSRNOG00000037567	3	87817408	87906547	-	89140	383
ENSRNOG00000004623	3	87902238	87911066	+	8829	0
ENSRNOG00000006353	3	78336056	78342184	-	6129	30
ENSRNOG00000006539	3	78343164	78353207	+	10044	102
ENSRNOG00000006884	3	78354303	78355055	+	753	0
ENSRNOG00000058478	3	78355048	78372884	-	17837	516
ENSRNOG00000010379	3	76924613	76999426	+	74814	1810
ENSRNOG00000007478	3	78374995	78404965	-	29971	660
ENSRNOG00000011208	3	76983471	77024373	+	40903	68
ENSRNOG00000011414	3	77031825	77043358	+	11534	331
ENSRNOG00000031275	3	142943684	142945346	-	1663	0
ENSRNOG00000011981	3	77037565	77049226	-	11662	20
ENSRNOG00000004639	3	87963514	87983507	+	19994	304
ENSRNOG00000021678	3	79939600	79972000	-	32401	661
ENSRNOG00000005191	3	88592719	88729188	-	136470	6900
ENSRNOG00000009630	3	79990056	80113617	-	123562	1308
ENSRNOG00000004666	3	88003617	88082763	-	79147	769
ENSRNOG00000036864	3	143057402	143058442	+	1041	0
ENSRNOG00000009199	3	79806587	79820835	-	14249	60
ENSRNOG00000068949	3	144662361	144664459	+	2099	27
ENSRNOG00000049208	3	146410305	146410634	-	330	0
ENSRNOG00000042533	3	79826464	79841163	-	14700	6
ENSRNOG00000069924	3	151735997	151736863	-	867	0
ENSRNOG00000070459	3	77616808	77621055	-	4248	12
ENSRNOG00000016037	3	148998122	149000031	-	1910	38
ENSRNOG00000048701	3	155980625	155981036	+	412	0
ENSRNOG00000016610	3	77620655	77643396	+	22742	904
ENSRNOG00000050529	3	154093986	154094378	-	393	0
ENSRNOG00000064257	3	159137659	159138030	+	372	0
ENSRNOG00000025067	3	156939809	156941890	+	2082	55
ENSRNOG00000016984	3	77645790	77681043	-	35254	1666
ENSRNOG00000004451	3	161016347	161017444	+	1098	0
ENSRNOG00000068305	3	164689092	164689665	+	574	5
ENSRNOG00000005348	3	88889046	88988606	+	99561	467
ENSRNOG00000053869	3	165502384	165505455	-	3072	0
ENSRNOG00000010312	3	167889009	167891223	-	2215	2
ENSRNOG00000064332	3	158851783	158852007	+	225	2
ENSRNOG00000007484	3	89641833	89679997	-	38165	4
ENSRNOG00000067719	3	19787646	19787900	+	255	0
ENSRNOG00000067055	3	36460416	36460589	-	174	0
ENSRNOG00000063773	3	61291895	61292446	+	552	0
ENSRNOG00000069165	3	118645138	118645539	-	402	0
ENSRNOG00000062319	3	138437927	138438073	+	147	0
ENSRNOG00000010963	3	90484607	90486589	+	1983	1
ENSRNOG00000069090	3	144267394	144267636	+	243	0
ENSRNOG00000066343	3	169015062	169015331	+	270	0
ENSRNOG00000067023	3	156369912	156371045	+	1134	1
ENSRNOG00000065376	3	156392971	156394687	-	1717	11
ENSRNOG00000069349	3	157193604	157198233	+	4630	38
ENSRNOG00000058055	3	161094102	161098814	-	4713	0
ENSRNOG00000066007	3	161237989	161239770	-	1782	0
ENSRNOG00000068825	3	162375628	162384557	+	8930	81
ENSRNOG00000069700	3	162425598	162427105	-	1508	6
ENSRNOG00000063761	3	164974985	164977741	+	2757	22
ENSRNOG00000006063	3	78194549	78331865	+	137317	4306
ENSRNOG00000067544	3	168325493	168329154	+	3662	1
ENSRNOG00000067396	3	449610	466866	+	17257	0
ENSRNOG00000070205	3	454766	465076	-	10311	0
ENSRNOG00000067522	3	463446	465076	+	1631	0
ENSRNOG00000070744	3	692628	703242	-	10615	1
ENSRNOG00000065622	3	1183025	1190181	-	7157	0
ENSRNOG00000066142	3	1200259	1480413	+	280155	29
ENSRNOG00000065744	3	1379622	1382303	+	2682	0
ENSRNOG00000064637	3	1478393	1480023	-	1631	0
ENSRNOG00000063318	3	1505206	1506697	+	1492	0
ENSRNOG00000066238	3	1513554	1528417	-	14864	0
ENSRNOG00000067765	3	1582000	1592695	-	10696	0
ENSRNOG00000067455	3	1611076	1617491	-	6416	0
ENSRNOG00000062687	3	2881223	2901974	-	20752	8
ENSRNOG00000052005	3	3310940	3347929	+	36990	3
ENSRNOG00000067731	3	3392191	3421364	-	29174	1
ENSRNOG00000064969	3	4371314	4399965	+	28652	8
ENSRNOG00000070210	3	6116157	6148480	-	32324	722
ENSRNOG00000068169	3	7887632	7889614	+	1983	2
ENSRNOG00000067380	3	8549563	8556361	-	6799	0
ENSRNOG00000067089	3	9464553	9467471	+	2919	41
ENSRNOG00000070157	3	10831587	10836768	-	5182	2
ENSRNOG00000064136	3	11354747	11357054	+	2308	0
ENSRNOG00000009401	3	90365883	90377953	+	12071	52
ENSRNOG00000064341	3	13092200	13117642	+	25443	22
ENSRNOG00000026636	3	13100343	13117048	-	16706	0
ENSRNOG00000062648	3	14169402	14189337	-	19936	1
ENSRNOG00000069159	3	14428020	14434682	-	6663	22
ENSRNOG00000008510	3	89954713	90108548	+	153836	749
ENSRNOG00000066737	3	14431713	14434653	+	2941	0
ENSRNOG00000068911	3	15375505	15377168	+	1664	0
ENSRNOG00000069378	3	15648558	15658035	-	9478	15
ENSRNOG00000069611	3	15802470	15822182	-	19713	88
ENSRNOG00000069146	3	16173029	16174574	+	1546	10
ENSRNOG00000065046	3	18085653	18086829	-	1177	19
ENSRNOG00000068078	3	18132551	18133519	-	969	9
ENSRNOG00000068246	3	18372888	18387230	+	14343	1
ENSRNOG00000011358	3	90800296	90867759	-	67464	2661
ENSRNOG00000065681	3	18813898	18824994	-	11097	4
ENSRNOG00000063367	3	20782946	20787577	+	4632	0
ENSRNOG00000070813	3	20882152	20921201	-	39050	0
ENSRNOG00000061836	3	20928974	20940246	-	11273	0
ENSRNOG00000068032	3	20940341	20947798	+	7458	0
ENSRNOG00000063540	3	21181230	21186624	-	5395	274
ENSRNOG00000067112	3	91539051	91540059	+	1009	0
ENSRNOG00000066122	3	21458608	21460293	-	1686	94
ENSRNOG00000070761	3	22117428	22123971	-	6544	2
ENSRNOG00000067412	3	22726862	22730706	+	3845	0
ENSRNOG00000064915	3	22929229	22931452	-	2224	674
ENSRNOG00000063568	3	29390015	29400630	+	10616	11
ENSRNOG00000067896	3	29460033	29489705	+	29673	9
